Plot,Location,Plot_Size,Species,Above_BH,Decay_Class,Count,Density,Notes,,,,,,
55,0,1,AMAL2,A,,6,6,,,,,,,
55,15,1,QUGA,B,,4,4,,,,,,,
55,15,1,QUGA,A,,3,3,,,,,,,
55,15,1,AMAL2,B,,3,3,,,,,,,
55,15,1,AMAL2,A,,5,5,,,,,,,
55,30,1,QUGA,B,,67,67,,,,,,,
55,30,1,QUGA,A,,8,8,,,,,,,
55,30,1,AMAL2,B,,11,11,,,,,,,
55,30,1,AMAL2,A,,4,4,,,,,,,
54,0,1,QUGA,B,,56,56,,,,,,,
54,0,1,QUGA,A,,6,6,,,,,,,
54,0,1,AMAL2,B,,28,28,,,,,,,
54,0,1,AMAL2,A,,6,6,,,,,,,
54,15,1,QUGA,B,,25,25,,,,,,,
54,15,1,QUGA,A,,5,5,,,,,,,
54,15,1,AMAL2,B,,44,44,,,,,,,
54,15,1,PIPO,A,,3,3,,,,,,,
54,30,1,QUGA,B,,65,65,,,,,,,
54,30,1,QUGA,A,,3,3,,,,,,,
54,30,1,AMAL2,B,,18,18,,,,,,,
29,0,0.5,PRVI,B,,26,52,,,,,,,
29,0,0.5,QUGA,B,,20,40,,,,,,,
29,0,0.5,QUGA,A,,5,10,,,,,,,
29,0,0.5,AMAL2,A,,4,8,,,,,,,
29,15,1,AMAL2,B,,46,46,,,,,,,
29,15,1,AMAL2,A,,4,4,,,,,,,
29,15,1,QUGA,B,,19,19,,,,,,,
29,15,1,QUGA,A,,5,5,,,,,,,
29,15,1,PRVI,B,,3,3,,,,,,,
29,30,1,QUGA,B,,42,42,,,,,,,
29,30,1,QUGA,A,,2,2,,,,,,,
29,30,1,AMAL2,B,,57,57,,,,,,,
28,0,1,QUGA,A,,7,7,,,,,,,
28,0,1,QUGA,B,,55,55,,,,,,,
28,0,1,AMAL2,B,,8,8,,,,,,,
28,15,1,QUGA,B,,79,79,,,,,,,
28,15,1,AMAL2,B,,26,26,,,,,,,
28,15,1,AMAL2,A,,1,1,,,,,,,
28,30,1,AMAL2,B,,26,26,,,,,,,
28,30,1,QUGA,B,,48,48,,,,,,,
28,30,1,QUGA,A,,3,3,,,,,,,
28,30,1,AMAL2,A,,2,2,,,,,,,
30,0,1,PIPO,A,,2,2,,,,,,,
30,0,1,QUGA,B,,38,38,,,,,,,
30,0,1,AMAL2,B,,19,19,,,,,,,
30,15,1,QUGA,B,,38,38,,,,,,,
30,15,1,QUGA,A,,2,2,,,,,,,
30,15,1,AMAL2,B,,9,9,,,,,,,
30,15,1,AMAL2,A,,4,4,,,,,,,
30,15,1,PIPO,B,,2,2,,,,,,,
30,30,1,QUGA,B,,9,9,,,,,,,
30,30,1,QUGA,A,,6,6,,,,,,,
30,30,1,AMAL2,B,,13,13,,,,,,,
30,30,1,AMAL2,A,,2,2,,,,,,,
31,0,1,QUGA,B,,15,15,,,,,,,
31,0,1,QUGA,A,,10,10,,,,,,,
31,0,1,AMAL2,B,,12,12,,,,,,,
31,0,1,AMAL2,A,,8,8,,,,,,,
31,15,1,QUGA,B,,36,36,,,,,,,
31,15,1,QUGA,A,,12,12,,,,,,,
31,15,1,AMAL2,B,,4,4,,,,,,,
31,15,1,AMAL2,A,,3,3,,,,,,,
31,15,1,PIPO,A,,1,1,,,,,,,
31,30,1,QUGA,B,,23,23,,,,,,,
31,30,1,QUGA,A,,14,14,,,,,,,
31,30,1,AMAL2,B,,8,8,,,,,,,
27,0,1,QUGA,B,,23,23,,,,,,,
27,0,1,QUGA,A,,7,7,,,,,,,
27,0,1,AMAL2,B,,20,20,,,,,,,
27,0,1,AMAL2,A,,7,7,,,,,,,
27,15,1,QUGA,B,,13,13,,,,,,,
27,15,1,QUGA,A,,9,9,,,,,,,
27,15,1,AMAL2,B,,16,16,,,,,,,
27,15,1,AMAL2,A,,3,3,,,,,,,
27,30,1,QUGA,B,,17,17,,,,,,,
27,30,1,AMAL2,B,,8,8,,,,,,,
27,30,1,AMAL2,A,,2,2,,,,,,,
