ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Tree Number,Species,Decay Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter Units,DBH,DBH_in,BA,Height Units,Height,Crown Base Height,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
2578,8923351f-02e7-4f0a-a666-37ff4f46d3cc,LonePine,Pre,Control,Yes,Lake_canyon,,266,NA,,PIPO,L,,,G,,,cm,48.7,19.17322835,2.004959585,,55.2,23,58.33333333,,,,1fb297d7-7472-4e4f-9219-e832af962ef8,9/7/2020 15:57,MSI.swindell,9/7/2020 15:57,MSI.swindell
2706,963812fa-fb31-4f9d-a53e-fa2e686cd26f,LonePine,Pre,Control,Yes,Haycamp,,280,NA,,PIPO,L,,,G,,,cm,48.7,19.17322835,2.004959585,,57.6,17.3,69.96527778,,,,763b959d-1857-4011-bd60-25223792243c,9/7/2020 15:57,MSI.swindell,9/7/2020 15:57,MSI.swindell
2345,a90861f4-1267-4e56-b0a7-a87a758fbfd7,LonePine,Pre,Control,Yes,lake_canyon,,212,NA,,PIPO,L,,,G,None,<half,cm,48.7,19.17322835,2.004959585,ft,61,30.2,50.49180328,,5.4,,8a8d99dd-9ade-4b4d-b0d0-c428d313eec6,8/27/2020 18:36,MSI.swindell,8/27/2020 18:36,MSI.swindell
1447,793741bb-18fc-4438-9847-d06c882dcffd,LonePine,Pre,LTR,No,lake_canyon,,48,70_BA,,PIPO,L,,,G,,<half,cm,48.7,19.17322835,2.004959585,ft,68,11,83.82352941,,,,ef393d47-9c19-4a12-bcf3-6c954d433718,7/30/2020 21:21,MSI.swindell,7/30/2020 21:21,MSI.swindell
2276,a8f1e569-f730-4ebd-aab5-47393e91302e,LonePine,Pre,Control,Yes,lake_canyon,,225,NA,,PIPO,L,,,G,None,>half,cm,48.6,19.13385827,1.996734119,ft,50.1,19.9,60.27944112,,,,0e9c9f93-bcc7-4037-974f-9afdef545f23,8/27/2020 18:35,MSI.swindell,8/27/2020 18:35,MSI.swindell
338,a1d4e8cc-6913-4877-bec6-67eae2922cd6,LonePine,Pre,LTR,No,wolf_den,,156,NA,,PIPO,L,,,G,,,cm,48.5,19.09448819,1.98852556,,71.5,23.5,67.13286713,,,,0675fbbe-8fdb-48c4-8118-c221dd9d7303,7/17/2020 3:53,MSI.forest,7/17/2020 3:53,MSI.forest
277,d6e6d6d8-016b-4dce-af84-efcb2222f989,LonePine,Pre,Control,Yes,wolf_den,,7,NA,55,PIPO,L,,,G,Several,<half,cm,48.4,19.05511811,1.980333908,ft,57.5,23.4,59.30434783,,,,9146ca2d-b957-4c69-9dff-e2ecc38ab02e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
2205,cee58c6c-77ff-4fde-b53e-30ba1178bbc4,LonePine,Pre,Control,Yes,lake_canyon,,232,NA,,PIPO,L,,,G,None,<half,cm,48.4,19.05511811,1.980333908,ft,57.7,30,48.00693241,,,,0cfc7c69-95ba-4087-baa9-32e223c6ad74,8/27/2020 18:34,MSI.swindell,8/27/2020 18:34,MSI.swindell
1953,830579d4-4965-445c-86d4-8e2998309062,LonePine,Pre,Control,Yes,canyon_creek,,73,NA,,PIPO,L,,,G,None,<half,cm,48.4,19.05511811,1.980333908,ft,60.9,10.7,82.43021346,,,,b4539c70-2857-4a1c-b30d-bcd935e067a8,8/16/2020 20:49,MSI.swindell,8/16/2020 20:49,MSI.swindell
1132,b14e6092-078a-4d33-9565-9f137bf29640,LonePine,Pre,STS,No,lake_canyon,BR11,174,NA,,PIPO,L,,,G,None,>half,cm,48.4,19.05511811,1.980333908,ft,72.6,33.5,53.85674931,,,,cfe9ebd2-f5d8-4b76-a873-e46fce4b6ac8,7/30/2020 21:20,MSI.swindell,7/30/2020 21:20,MSI.swindell
3300,7cafb4b9-f9f1-4f30-9f5f-bc12f99f1412,LonePine,Pre,Control,Yes,Ormiston,,247,NA,,PIPO,L,,,G,,,cm,48.2,18.97637795,1.964001327,,62,29.1,53.06451613,,,,c1ae3b02-ddb6-472f-9f0b-6b83c6354008,9/17/2020 20:10,MSI.swindell,9/17/2020 20:10,MSI.swindell
1962,48d8ed30-66c0-485e-a723-82c24d0c548b,LonePine,Pre,Control,Yes,canyon_creek,,73,NA,,PIPO,L,,,G,None,>half,cm,48,18.8976378,1.947736375,ft,46.7,23,50.74946467,,,,b4539c70-2857-4a1c-b30d-bcd935e067a8,8/16/2020 20:49,MSI.swindell,8/16/2020 20:49,MSI.swindell
2267,25ad8329-2bcd-45a7-8e64-937e2e4f6474,LonePine,Pre,Control,Yes,lake_canyon,,224,NA,,PIPO,L,,,G,None,>half,cm,48,18.8976378,1.947736375,ft,54.6,31.2,42.85714286,,,,6ea1e732-bca1-42f0-aa48-f135080549d2,8/27/2020 18:35,MSI.swindell,8/27/2020 18:35,MSI.swindell
2336,c5e481c2-bb22-4e66-9469-89a20ddb96ea,LonePine,Pre,Control,Yes,lake_canyon,,215,NA,,PIPO,L,,,G,None,<half,cm,48,18.8976378,1.947736375,ft,60.1,25,58.40266223,,2,,0837f3cf-6cd7-4907-b24e-103a3c2173b8,8/27/2020 18:36,MSI.swindell,8/27/2020 18:36,MSI.swindell
787,2560b975-6fb9-4b35-a2a8-15c1fc686a98,LonePine,Pre,STS,No,Bradfield,,86,NA,,PIPO,L,,,G,,,cm,47.9,18.85826772,1.939629261,,50.8,30.6,39.76377953,,,,4dc74f85-050f-4690-a15b-5281b9f87907,7/23/2020 14:50,MSI.swindell,7/23/2020 14:50,MSI.swindell
2108,986fe2a0-6a3c-45a8-8c53-496ce9598716,LonePine,Pre,Control,Yes,Fader,,12,NA,,PIPO,L,,,G,,,cm,47.8,18.81889764,1.931539054,,43.9,20,54.44191344,,,,94265c5d-3c27-449c-83ce-2902e3109e92,8/22/2020 17:54,MSI.swindell,8/22/2020 17:54,MSI.swindell
3336,cb7f266b-b0c0-443a-96c6-ef510a8cd1f1,LonePine,Pre,Control,Yes,Ormiston,,251,NA,,PIPO,L,,,G,,,cm,47.8,18.81889764,1.931539054,,62.2,25.4,59.16398714,,,,cd208866-f14d-4a0d-b501-9f2dbd114be3,9/17/2020 20:11,MSI.swindell,9/17/2020 20:11,MSI.swindell
3338,97590bfe-7645-419c-8350-69cf666158e1,LonePine,Pre,Control,Yes,Ormiston,,251,NA,,PIPO,L,,,G,,,cm,47.7,18.77952756,1.923465754,,55,17.2,68.72727273,,,,cd208866-f14d-4a0d-b501-9f2dbd114be3,9/17/2020 20:11,MSI.swindell,9/17/2020 20:11,MSI.swindell
